index,Year,EmployerName,DepartmentOrSubdivision,Position,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages
225,2009,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,6776.0,,,,,6776.0
226,2009,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,1065.0,,,,,1065.0
227,2009,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,7134.0,,,,,7134.0
228,2009,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,4767.0,,,,,4767.0
229,2009,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,2755.0,,,,,2755.0
230,2009,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,5467.0,,,,,5467.0
231,2009,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,8507.0,,,,,8507.0
232,2009,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,16798.0,,,,,16798.0
233,2009,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,267.0,,,,,267.0
234,2009,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,5873.0,,,,,5873.0
235,2009,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,5452.0,,,,,5452.0
236,2009,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,18786.0,,,,,18786.0
6046,2010,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,18512.0,,,,,18512.0
6047,2010,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,2362.0,,,,,2362.0
6048,2010,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,4687.0,,,,,4687.0
6049,2010,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,4284.0,,,,,4284.0
6050,2010,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,7756.0,,,,,7756.0
6051,2010,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,2722.0,,,,,2722.0
6052,2010,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,7406.0,,,,,7406.0
6053,2010,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,3937.0,,,,,3937.0
6054,2010,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,18171.0,,,,,18171.0
6055,2010,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,5194.0,,,,,5194.0
6056,2010,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,6082.0,,,,,6082.0
6057,2010,Carlsbad,Rec Preschool,Hourly/Preschool Instructor,29120,45760.0,189.0,,,,,189.0
